2081,MH01DR4442,Tempo,MqTozxYSQzdLKHoToTsy,EjhPGhVsbJsTjgZawbPO,TATA,1950,t,2022-03-30 12:19:39.04491+05:30,2022-03-30 12:19:39.044915+05:30,98,1,1,12
2079,MH01DR3930,Tempo,WjKbNiCJYvXERduxDJPW,iHFDoSqeutSMFEPJxCbq,TATA,1950,t,2022-05-17 11:41:13.133276+05:30,2022-05-17 11:41:13.133286+05:30,102,1,1,15
2082,MH01DR4446,Tempo,uflTJLGKeLHMiTUnTfIu,tMLdsRLOTPifXdXJGkrg,TATA,1950,t,2022-05-17 11:39:56.181515+05:30,2022-05-17 11:39:56.181521+05:30,102,1,1,15
2089,MH01DR4447,Tempo,rUhMqctehHXPeczfrEdh,lRlBgxMAJvJWjcTjwItI,TATA,1950,t,2022-05-17 11:40:21.94826+05:30,2022-05-17 11:40:21.948267+05:30,102,1,1,15
2091,MH01DR4491,Tempo,eYwMIKJUOZfwaUxNGwRT,HVTNzrRxLUGvOQbORxOO,TATA,1950,t,2022-05-17 11:41:38.354796+05:30,2022-05-17 11:41:38.354803+05:30,102,1,1,15
2086,MH01DR4490,Tempo,fqCCvMOCkDAbZSCncQuT,SXxvexyejXrdeLerxabe,TATA,1950,t,2022-05-17 11:42:17.547201+05:30,2022-05-17 11:42:17.547205+05:30,101,1,1,22
2102,MH01DR5216,Tempo,UIdIwpcEnIelojNnhlnH,TmYuLnTjawVPvhnQUARH,TATA,1950,t,2022-05-17 11:42:47.870335+05:30,2022-05-17 11:42:47.87034+05:30,101,1,1,22
2101,MH01DR5217,Tempo,IIdNiRQDosrmHIvJnSZz,hSrmsTIunSwCWDbMqElq,TATA,1950,t,2022-05-17 11:43:19.451366+05:30,2022-05-17 11:43:19.45137+05:30,101,1,1,22
2100,MH01DR4811,Tempo,jRgSUFOaIorVVwtzzhWm,PzwYkBuURBDdlCDLudNt,TATA,1950,t,2022-05-17 11:44:02.567725+05:30,2022-05-17 11:44:02.567732+05:30,101,1,1,22
1068,MH01CV2414,Ward_and_Watch,nysLvRHlTpDGRmnjEWMi,uHkwobCIsKNSUcxxcGyh,TATA,2019,t,2022-01-20 22:59:59.115807+05:30,2022-01-20 22:59:59.115842+05:30,59,1,,2
1045,MH01CV1943,Refuse_Compactor,ZHGJoEdrMzcjqLCiPUWj,nphlBpDFUXUSHveIhKMA,TATA,2019,t,2022-01-20 22:59:59.066441+05:30,2022-01-20 22:59:59.066474+05:30,59,1,,2
1046,MH01CV1710,Refuse_Compactor,MDsXACUlfnlIYBSGvJTh,TqwPkKgFnAQQcfFxcgMo,TATA,2019,t,2022-01-20 22:59:59.068566+05:30,2022-01-20 22:59:59.0686+05:30,59,1,,2
1047,MH01CV1947,Refuse_Compactor,ZSOKRPLOOYHJgUcdNmPa,dvKTvfgNIHhtirlHIISN,TATA,2019,t,2022-01-20 22:59:59.070867+05:30,2022-01-20 22:59:59.0709+05:30,59,1,,2
2097,MH01DR4802,Tempo,EeZAntZalmmyeruhxijp,VeHogeQppVGZyvusERVX,TATA,1950,t,2022-05-24 17:18:39.116083+05:30,2022-05-24 17:18:39.11609+05:30,135,1,1,6
2106,MH01DR5219,Tempo,ijhyBFxmvbtfjctxGZNJ,rAULWOaTYbZDCunJGJDS,TATA,1950,t,2022-07-13 17:28:20.438094+05:30,2022-07-13 17:28:20.4381+05:30,137,1,1,8
1105,MH01CV1619,Ward_and_Watch,kxiEHvmNJMxrWwOyKuDr,PpeJaTZNiaaEVvmDXvid,TATA,2019,t,2022-01-20 22:59:59.194605+05:30,2022-01-20 22:59:59.194625+05:30,60,1,,3
2080,MH01DR3074,Tempo,qmKDeroBtjwDzCPwDjkE,FFifCTJpbaHWsCyCoBrr,TATA,1950,t,2022-07-21 16:41:49.368327+05:30,2022-07-21 16:41:49.368333+05:30,98,1,1,7
2098,MH01DR4805,Tempo,KTHuUJuJHAGxegeWFLXe,myAeoUDgsToInkqPxJgY,TATA,1950,t,2022-07-25 13:24:11.734217+05:30,2022-07-25 13:24:11.734226+05:30,98,1,1,12
1082,MH01CV1939,Refuse_Mini_Compactor,cthpALnweDitxECwYYWv,vEZoYEhRCpEQEoZxIPBI,TATA,2019,t,2022-01-20 22:59:59.148123+05:30,2022-01-20 22:59:59.148156+05:30,60,1,,3
1083,MH01CV2266,Refuse_Mini_Compactor,bzjDerNLsvHibvzErSUH,BmSVcfBZdCQgyFkorycM,TATA,2019,t,2022-01-20 22:59:59.150321+05:30,2022-01-20 22:59:59.15037+05:30,60,1,,3
1048,MH01CV2016,Refuse_Compactor,hTwSPQChjQQLJxcWvbyG,OMEMdPGwRJLPGIYARxRd,TATA,2019,t,2022-01-20 22:59:59.073041+05:30,2022-01-20 22:59:59.073074+05:30,59,1,,2
